star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,__S_,__FHK_,__FHa_,Simbad,_RA,_DE
TIC 184281898,5.71578471383,-12.2094367714,5.717578630284787,-12.209165461343623,184281898.0,2.42349336902165e+18,2.42349336902165e+18,1803.0,2MASS J00225174-1212340,5265-00757-1,WDS J00229-1213A,*   9 Cet,tic_near,394.3878458810671,0.0284876488149166,60.89258544953135,0.0224541574716568,GaiaDR3,2023A&A...674A...1G,7.29,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,7.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.39,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,5.253,0.021,TIC,2019AJ....158..138S,5.035,0.034,TIC,2019AJ....158..138S,4.861,0.016,TIC,2019AJ....158..138S,5.796,0.006,6.23668098449707,0.0028170402167044,gaia_dr3,2023A&A...674A...1G,6.562525749206543,0.0035392719301472,5.740804672241211,0.0040534502216734,46.87421744278449,0.0270128343254327,GaiaDR3,2023A&A...674A...1G,21.318191528320312,0.0127944946289062,bj2021,2021AJ....161..147B,0,G2.5V,1989ApJS...71..245K,1,5795.0,10.0,Pastel,2022A&A...663A...4S,4.381790344789245,0.0218275159775943,calculated_from_M_and_R,Calculated Value,4.46,0.02,Pastel,2022A&A...663A...4S,0.18,0.02,Pastel,2022A&A...663A...4S,0.0370094089268781,0.0112092469834009,update_TIC,Calculated Value,1.0352624659800116,0.0138297008435762,calc_from_L_and_Teff,Calculated Value,0.9415072202682496,0.040080189704895,gaia_dr3_flame,2023A&A...674A...1G,0,9.949624061584473,1.2296533584594735,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,219.5,6.11,,,,0,,HD   1835,0.35,187.2,33.75,Simbad,5.71578,-12.20944
TIC 156016697,9.15823615743,-49.13232590346,9.160852784125462,-49.13291796841244,156016697.0,4.974688412245511e+18,4.974688412245511e+18,2888.0,2MASS J00363798-4907564,8027-00929-1,WDS J00366-4908A,HD   3405,tic_near,385.299218012539,0.0113512752577662,-133.34422594164894,0.0132618658244609,GaiaDR3,2023A&A...674A...1G,,,,,7.42,,Simbad,,6.78,,Simbad,,,,,,,,,,5.664,0.02,TIC,2019AJ....158..138S,5.398,0.031,TIC,2019AJ....158..138S,5.303,0.021,TIC,2019AJ....158..138S,6.211,0.006,6.64645528793335,0.0027702995458271,gaia_dr3,2023A&A...674A...1G,6.95432710647583,0.0029651214654215,6.167069911956787,0.0038500111096025,22.52273876615741,0.017864366993308,GaiaDR3,2023A&A...674A...1G,44.368499755859375,0.0335159301757812,bj2021,2021AJ....161..147B,0,G3V,1978PDAO...15..121B,1,5868.0,102.7,TIC,2019AJ....158..138S,3.979842748978684,0.0621835841543558,calculated_from_M_and_R,Calculated Value,,,,,0.14,,gcs_reanalysis,2011A&A...530A.138C,0.5121858745883734,0.0122065694541782,update_TIC,Calculated Value,1.7448792247761118,0.0658153720694856,calc_from_L_and_Teff,Calculated Value,1.06,0.129,TIC,2019AJ....158..138S,0,,,,,,8.149409,20.271111,4.974688412245652e+18,8.149409,20.271111,4.974688412245652e+18,1,1,A,329.7,1.6300000000000008,4.9746655630195e+18,329.7294,1.5593,0,,HD   3405,0.33,219.1,46.33,Simbad,9.15823,-49.13232
TIC 246895813,9.336278,-24.76733,,,246895813.0,,,2941.0,2MASS J00372057-2446023,6421-01924-1,WDS J00373-2446AB,HD   3443,tic_near,1422.0,8.0,-17.0,8.0,TIC tic7,2019AJ....158..138S,,,,,6.28,,Simbad,,5.57,,Simbad,,,,,,,,,,4.437,0.266,TIC,2019AJ....158..138S,3.976,0.224,TIC,2019AJ....158..138S,4.027,0.21,TIC,2019AJ....158..138S,5.051,0.276,,,,,,,,,64.38,1.4,TIC hip,2019AJ....158..138S,15.53277415346381,0.3377739020635187,TIC plx hip,2019AJ....158..138S,0,K1V+G,1988MSS...C04....0H,1,5398.0,62.0,Pastel,2022A&A...663A...4S,4.184662328610283,,calculated_from_M_and_R,Calculated Value,4.34,0.14,Pastel,2022A&A...663A...4S,-0.2,0.04,Pastel,2022A&A...663A...4S,0.119302762928583,,Pecaut_and_Mamajek_2013,Calculated Value,1.3117113180901077,,calc_from_L_and_Teff,Calculated Value,0.96,0.0499999999999999,gcs_reanalysis,2011A&A...530A.138C,0,9.45,3.975,gcs_reanalysis,2011A&A...530A.138C,,,,,,,,1,0,AB,0.1,-0.3999999999999994,,,,0,,HD   3443,0.17,82.95,29.09,Simbad,9.33625,-24.76727
TIC 20926643,10.13664827516,-23.80492190725,10.139887086770493,-23.80646605948156,20926643.0,2.3474273979696425e+18,2.347427402266219e+18,3185.0,2MASS J00403279-2348172,6421-00824-1,,HD   3795,tic_near,668.1088623477734,0.0671878233551979,-346.8108560830965,0.0552750080823898,GaiaDR3,2023A&A...674A...1G,,,,,6.84,,Simbad,,6.14,,Simbad,,,,,,,,,,5.13,0.288,TIC,2019AJ....158..138S,4.545,0.214,TIC,2019AJ....158..138S,4.333,0.02,TIC,2019AJ....158..138S,5.462,0.006,5.953400135040283,0.0027670015647409,gaia_dr3,2023A&A...674A...1G,6.321023941040039,0.0028972272421959,5.40127420425415,0.0039732660569904,35.05079849265073,0.0640764310956001,GaiaDR3,2023A&A...674A...1G,28.50655937194824,0.0529041290283203,bj2021,2021AJ....161..147B,0,K0VFe-1.5CH-1.3,2006AJ....132..161G,1,5376.0,14.0,Pastel,2022A&A...663A...4S,3.863136179534144,0.05698475450302,calculated_from_M_and_R,Calculated Value,3.95,0.04,Pastel,2022A&A...663A...4S,-0.61,0.02,Pastel,2022A&A...663A...4S,0.4199461468201728,0.011775352684077,update_TIC,Calculated Value,1.869421349379188,0.0271494831964327,calc_from_L_and_Teff,Calculated Value,0.93,0.119,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD   3795,0.15,70.85,28.05,Simbad,10.1367,-23.80488
TIC 234501204,11.1636146902,-65.64952291527,11.165312596304016,-65.65281899170009,234501204.0,4.708607629114652e+18,4.708607629114652e+18,3497.0,2MASS J00443925-6538581,8847-00598-1,,HD   4308,tic_near,157.63926545371467,0.0205346457660198,-741.9129958953331,0.0220728050917387,GaiaDR3,2023A&A...674A...1G,7.31,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.193,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.552,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,,,,,,,,,5.366,0.024,TIC,2019AJ....158..138S,5.101,0.016,TIC,2019AJ....158..138S,4.945,0.02,TIC,2019AJ....158..138S,5.934,0.006,6.3880486488342285,0.0027624315254352,gaia_dr3,2023A&A...674A...1G,6.713316440582275,0.0029717019409234,5.88581132888794,0.0038558675766785,45.3558843976139,0.017751881852746,GaiaDR3,2023A&A...674A...1G,22.0435733795166,0.0080213546752947,bj2021,2021AJ....161..147B,0,G6VFe-0.9,2006AJ....132..161G,1,5694.0,13.0,Pastel,2022A&A...663A...4S,4.361404312999026,0.0220960119305239,calculated_from_M_and_R,Calculated Value,4.4,0.03,Pastel,2022A&A...663A...4S,-0.33,0.01,Pastel,2022A&A...663A...4S,0.0110513390522541,0.01031068740919,update_TIC,Calculated Value,1.0407427369415296,0.0132367516874748,calc_from_L_and_Teff,Calculated Value,0.9078695774078368,0.0400031507015228,gaia_dr3_flame,2023A&A...674A...1G,0,12.616894721984863,1.110403537750244,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,1,HD 4308,HD   4308,0.16,94.45,30.47,Simbad,11.16362,-65.64952
TIC 28053245,12.89175067294,-22.91006711953,12.894709137689183,-22.91129544069207,28053245.0,2.349206308999274e+18,2.349206308999274e+18,4022.0,2MASS J00513400-2254361,6422-01073-1,WDS J00516-2255A,HD   4967,tic_near,613.2598551920532,0.0338586643338203,-276.4516012376809,0.032829038798809,GaiaDR3,2023A&A...674A...1G,11.446,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,10.256,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.954,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.157,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.467,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.545,0.02,TIC,2019AJ....158..138S,5.921,0.049,TIC,2019AJ....158..138S,5.735,0.021,TIC,2019AJ....158..138S,7.628,0.006,8.415547370910645,0.0027715705885607,gaia_dr3,2023A&A...674A...1G,9.172876358032228,0.0028954924105633,7.568672180175781,0.0038222996697609,65.0902364085195,0.0247366521507501,GaiaDR3,2023A&A...674A...1G,15.355194091796877,0.0066766738891601,bj2021,2021AJ....161..147B,0,K5V,1988MSS...C04....0H,1,3989.0,116.8,TIC,2019AJ....158..138S,4.48529339653342,0.0635408331621907,calculated_from_M_and_R,Calculated Value,,,,,-0.33,,Simbad 2016ApJ...822...97H,2016ApJ...822...97H,-0.8927852165472435,0.0365895134265064,update_TIC,Calculated Value,0.7490864890332091,0.054037809059262,calc_from_L_and_Teff,Calculated Value,0.6255898547721971,0.0152001314862824,Mann2019,Calculated Value,0,,,,,,,,,,,,1,1,A,17.1,8.04,2.3492063433595075e+18,17.0725,5.9501,0,,HD   4967,1.49,33.55,10.66,Simbad,12.89175,-22.91006
TIC 29845542,23.42848064113,-7.02534346454,23.42926407994888,-7.025711115974717,29845542.0,2.477891500647337e+18,2.477891500647337e+18,7276.0,2MASS J01334282-0701311,4687-02318-1,,HD   9562,tic_near,174.61275550449685,0.0700151175260543,-82.57651111211966,0.0273873936384916,GaiaDR3,2023A&A...674A...1G,6.61,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.4,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.76,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,4.627,0.029,TIC,2019AJ....158..138S,4.391,0.015,TIC,2019AJ....158..138S,4.258,0.018,TIC,2019AJ....158..138S,5.184,0.006,5.601215839385986,0.0028079551241037,gaia_dr3,2023A&A...674A...1G,5.915887832641602,0.0028818339035235,5.111699104309082,0.0046672679147711,33.58289170105761,0.0527412481606006,GaiaDR3,2023A&A...674A...1G,29.751611709594727,0.0456857681274414,bj2021,2021AJ....161..147B,0,G1V,2006AJ....132..161G,1,5860.0,12.0,Pastel,2022A&A...663A...4S,3.9086334111829415,0.0553183352493202,calculated_from_M_and_R,Calculated Value,4.05,0.03,Pastel,2022A&A...663A...4S,0.19,0.01,Pastel,2022A&A...663A...4S,0.5769086895766662,0.0125009103217323,update_TIC,Calculated Value,1.8850017494022304,0.0282064042233786,calc_from_L_and_Teff,Calculated Value,1.05,0.13,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD   9562,0.14,84.8,30.39,Simbad,23.42849,-7.02534
TIC 419015728,26.01704803456,-15.93748188539,26.009055057160104,-15.933680200693855,419015728.0,2.452378776434277e+18,2.452378776434477e+18,8102.0,2MASS J01440402-1556141,5855-2292-1,WDS J01441-1556A,* tau Cet,tic_near,-1721.7277944720731,0.1808758676052093,854.9631570589582,0.0880725905299186,GaiaDR3,2023A&A...674A...1G,4.43,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.22,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,3.5,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.88,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.41,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,2.149,0.31,TIC,2019AJ....158..138S,1.8,0.234,TIC,2019AJ....158..138S,1.794,0.274,TIC,2019AJ....158..138S,2.746,1.722,3.300399780273437,0.0029656848176958,gaia_dr3,2023A&A...674A...1G,3.799520492553711,0.0113164538082761,2.748299360275269,0.0053428118308673,273.80974511859966,0.1701304465532302,GaiaDR3,2023A&A...674A...1G,3.652167797088623,0.002537250518799,bj2021,2021AJ....161..147B,0,G8V,1989ApJS...71..245K,1,5356.0,11.0,Pastel,2022A&A...663A...4S,4.556220800197271,0.0530175595573576,calculated_from_M_and_R,Calculated Value,4.53,0.03,Pastel,2022A&A...663A...4S,-0.51,0.01,Pastel,2022A&A...663A...4S,-0.2843083618745233,0.0100881015583555,update_TIC,Calculated Value,0.8371770749672125,0.0103134363858919,calc_from_L_and_Teff,Calculated Value,0.92,0.11,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,A,160.5,10.32,,,,1,tau Cet,HD  10700,0.18,78.55,28.1,Simbad,26.01701,-15.93748
TIC 24910401,27.34729377026,-10.70361648143,27.34656392669115,-10.703948475569574,24910401.0,2.4610457111994813e+18,2.4610457111994813e+18,8486.0,2MASS J01492335-1042125,5278-02439-1,WDS J01496-1041B,V* EZ Cet,tic_near,-159.84578621669064,0.2219216972589492,-70.6658592150867,0.1678284704685211,GaiaDR3,2023A&A...674A...1G,7.49,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.386,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.754,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.392,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.04,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.536,0.023,TIC,2019AJ....158..138S,5.289,0.023,TIC,2019AJ....158..138S,5.149,0.02,TIC,2019AJ....158..138S,6.15,0.006,6.589531421661377,0.0027724682452664,gaia_dr3,2023A&A...674A...1G,6.905102252960205,0.0030708259136747,6.096688270568848,0.0039764384017311,41.80003753947925,0.2578659355640411,GaiaDR3,2023A&A...674A...1G,23.89030265808105,0.1390972137451154,bj2021,2021AJ....161..147B,0,G3V,1999MSS...C05....0H,1,5795.0,15.0,Pastel,2022A&A...663A...4S,4.416844852677398,0.0229641780623288,calculated_from_M_and_R,Calculated Value,4.48,0.04,Pastel,2022A&A...663A...4S,-0.06,0.02,Pastel,2022A&A...663A...4S,-0.0001446172547873,0.0127697726864023,update_TIC,Calculated Value,0.99191271098483,0.015460522222392,calc_from_L_and_Teff,Calculated Value,0.9369666576385498,0.0400185585021972,gaia_dr3_flame,2023A&A...674A...1G,0,9.61259937286377,1.2367229461669922,gaia_dr3_flame,2023A&A...674A...1G,,6.042407,12.634978,2.4610458142786964e+18,6.042407,12.634978,2.4610458142786964e+18,1,1,B,184.1,-2.119999999999999,,,,0,,HD  11131,0.33,213.1,36.16,Simbad,27.34732,-10.70356
GAIA DR3 4943931975343385728,30.9802137,-45.4129046,30.98228735275949,-45.41267385898835,,4.943931975343386e+18,4.943931975343386e+18,,2MASS J02035523-4524467,8042-581-1,WDS J02039-4525A,HD  12759A,gaia dr3,327.5381096474148,0.0184500012546777,51.91880858587145,0.0208489969372749,GaiaDR3,2023A&A...674A...1G,,,,,8.14,0.02,Simbad 2002A&A...384..180F,2002A&A...384..180F,7.37,0.01,Simbad 2002A&A...384..180F,2002A&A...384..180F,,,,,,,,,5.968,0.023,GCNS,2021A&A...649A...6G,5.627,0.044,GCNS,2021A&A...649A...6G,5.529,0.021,GCNS,2021A&A...649A...6G,6.614273080528471,,7.063690185546875,0.0027711616443743,gaia_dr3,2023A&A...674A...1G,7.391702651977539,0.0032069215977314,6.533144474029541,0.0042190975182743,19.993463715159205,0.0213164146989583,GaiaDR3,2023A&A...674A...1G,49.97975540161133,0.0568103790283203,bj2021,2021AJ....161..147B,0,,,0,2975.0,25.5,gspspec,2023A&A...674A...1G,2.8684601953232143,0.0219752045564489,calculated_from_M_and_R,Calculated Value,4.849999904632568,0.0899999141693115,gspspec,2023A&A...674A...1G,-3.3299999237060547,0.2300000190734863,gspspec [M/H],2023A&A...674A...1G,0.450905261203703,0.0012345646944699,gaia_dr3_flame,2023A&A...674A...1G,6.326031284328068,0.108818361810624,calc_from_L_and_Teff,Calculated Value,1.0780905485153198,0.0400020480155945,gaia_dr3_flame,2023A&A...674A...1G,0,8.43552017211914,0.7981019020080562,gaia_dr3_flame,2023A&A...674A...1G,,1.486173,10.956059,4.94393197963794e+18,1.486173,10.956059,4.94393197963794e+18,1,1,A,1.6,4.29,,,,0,,HD  12759,0.42,208.25,35.53,Simbad,30.98021,-45.4129
TIC 220017951,32.60799609331,-50.82374089862,32.62294594706244,-50.82090583925884,220017951.0,4.937000898855759e+18,4.937000898856156e+18,10138.0,2MASS J02102587-5049258,8048-01022-1,WDS J02104-5049A,HD  13445,tic_near,2125.416146679918,0.0478671938180923,637.975043070748,0.0615583024919033,GaiaDR3,2023A&A...674A...1G,,,,,6.945,0.015,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,6.117,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,4.785,0.248,TIC,2019AJ....158..138S,4.245,0.28,TIC,2019AJ....158..138S,4.125,0.036,TIC,2019AJ....158..138S,5.359,0.006,5.893561840057373,0.0027684265849502,gaia_dr3,2023A&A...674A...1G,6.31140661239624,0.0029284027275303,5.297973155975342,0.0038788102302172,92.92514044230325,0.0460793189704418,GaiaDR3,2023A&A...674A...1G,10.76023769378662,0.0063800811767569,bj2021,2021AJ....161..147B,0,K1.5V,1989ApJS...71..245K,1,5178.0,14.0,Pastel,2022A&A...663A...4S,4.577141720855802,0.023981165953255,calculated_from_M_and_R,Calculated Value,4.61,0.03,Pastel,2022A&A...663A...4S,-0.23,0.02,Pastel,2022A&A...663A...4S,-0.3912236469896978,0.0117598944870069,update_TIC,Calculated Value,0.7919845858813991,0.0115463541099316,calc_from_L_and_Teff,Calculated Value,0.8639876842498779,0.040514588356018,gaia_dr3_flame,2023A&A...674A...1G,0,2.6841602325439453,1.8244540095329285,gaia_dr3_flame,2023A&A...674A...1G,,2.572534,13.08884,4.937000898856155e+18,2.572534,13.08884,4.937000898856155e+18,1,1,A,2.6,7.029999999999999,4.937000898856155e+18,2.5725,7.1953,1,GJ 86,HD  13445,0.26,69.8,26.86,Simbad,32.60806,-50.82372
TIC 4748040,40.05175886162,-9.45287112021,40.05113726351545,-9.453221727859624,4748040.0,5.17390218957192e+18,5.17390218957192e+18,12444.0,2MASS J02401242-0927103,5285-01109-1,,HD  16673,tic_near,-136.9289592386625,0.1692930459976196,-78.9310137713743,0.1139053776860237,GaiaDR3,2023A&A...674A...1G,,,,,6.294,0.015,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,5.79,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,4.907,0.232,TIC,2019AJ....158..138S,4.655,0.076,TIC,2019AJ....158..138S,4.53,0.021,TIC,2019AJ....158..138S,5.301,0.007,5.665346145629883,0.0028455194381936,gaia_dr3,2023A&A...674A...1G,5.924323081970215,0.0037578406707306,5.245715141296387,0.0045823918569839,45.91596169945267,0.1537304669618606,GaiaDR3,2023A&A...674A...1G,21.759737014770508,0.0803098678588867,bj2021,2021AJ....161..147B,0,F8VFe-0.4,2006AJ....132..161G,1,6254.0,20.0,Pastel,2022A&A...663A...4S,4.398052259703675,0.0661668854055264,calculated_from_M_and_R,Calculated Value,4.35,0.03,Pastel,2022A&A...663A...4S,0.0,0.02,Pastel,2022A&A...663A...4S,0.2727632707035243,0.0168521721404078,update_TIC,Calculated Value,1.1660536329691165,0.0238211000338077,calc_from_L_and_Teff,Calculated Value,1.24,0.182,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD  16673,0.22,225.85,38.1,Simbad,40.05176,-9.45287
TIC 166853853,40.63944368063,-50.80029339482,40.64179116281783,-50.7993179041391,166853853.0,4.745373133284419e+18,4.745373133284419e+18,12653.0,2MASS J02423346-5048008,8056-01164-1,,* iot Hor,tic_near,333.7156354272668,0.0349260419607162,219.4232899168965,0.0415609590709209,GaiaDR3,2023A&A...674A...1G,,,,,5.97,,Simbad,,5.4,,Simbad,,,,,,,,,,4.75,0.262,TIC,2019AJ....158..138S,4.323,0.214,TIC,2019AJ....158..138S,4.138,0.036,TIC,2019AJ....158..138S,4.875,0.006,5.256284236907959,0.0028052119651254,gaia_dr3,2023A&A...674A...1G,5.542014598846436,0.0029938458839053,4.815601825714111,0.004238017249194,57.61314434522431,0.0382762104272842,GaiaDR3,2023A&A...674A...1G,17.356712341308594,0.0115365982055664,bj2021,2021AJ....161..147B,0,F8V,2006A&A...460..695T,1,6157.0,18.0,Pastel,2022A&A...663A...4S,4.340797861174594,0.0220702831041839,calculated_from_M_and_R,Calculated Value,4.43,0.03,Pastel,2022A&A...663A...4S,0.15,0.02,Pastel,2022A&A...663A...4S,0.2417867661536222,0.014187295195436,update_TIC,Calculated Value,1.1609345086340122,0.020140727993978,calc_from_L_and_Teff,Calculated Value,1.0773223638534546,0.0400008559226989,gaia_dr3_flame,2023A&A...674A...1G,0,5.373447418212891,0.7999505996704102,gaia_dr3_flame,2023A&A...674A...1G,,8.754301,18.568727,4.745373339442896e+18,8.754301,18.568727,4.745373339442896e+18,0,1,,,,,,,1,HR 810,HD  17051,0.23,193.1,37.36,Simbad,40.63944,-50.80029
TIC 30016911,43.13386743877,-12.76971407131,43.13567823945298,-12.770554604772986,30016911.0,5.160075762132997e+18,5.160075762132997e+18,13402.0,2MASS J02523210-1246109,5292-00897-1,WDS J02525-1246A,HD  17925,tic_near,397.3526395344037,0.0354885682463645,-189.2811721142515,0.0254547409713268,GaiaDR3,2023A&A...674A...1G,7.48,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.91,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,6.05,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,5.34,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.89,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,4.83,0.23,TIC,2019AJ....158..138S,4.23,0.22,TIC,2019AJ....158..138S,4.167,0.242,TIC,2019AJ....158..138S,5.279,0.006,5.812265396118164,0.0029884737166463,gaia_dr3,2023A&A...674A...1G,6.259414196014404,0.0051196181491961,5.1991047859191895,0.0055119191838389,96.52004136143886,0.0258446261286735,GaiaDR3,2023A&A...674A...1G,10.357582092285156,0.0023140907287588,bj2021,2021AJ....161..147B,0,K1V,1988MSS...C04....0H,1,5199.0,20.0,Pastel,2022A&A...663A...4S,4.555211784107419,0.0247305990001968,calculated_from_M_and_R,Calculated Value,4.55,0.02,Pastel,2022A&A...663A...4S,0.07,0.01,Pastel,2022A&A...663A...4S,-0.3967292161453585,0.00965040602114,update_TIC,Calculated Value,0.7806356880757868,0.0105497433378625,calc_from_L_and_Teff,Calculated Value,0.798069953918457,0.0400000214576721,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,15.4,13.3,,,,0,,HD  17925,0.65,140.0,31.17,Simbad,43.13387,-12.76971
TIC 439911365,45.9123283449,-5.66629745101,45.91381780795167,-5.6674695035064575,439911365.0,5.18108729190079e+18,5.18108729190079e+18,14241.0,2MASS J03033892-0539583,4713-00839-1,,HD  19034,tic_near,333.37096358125655,0.0319616235792636,-263.7956739078684,0.0286160968244075,GaiaDR3,2023A&A...674A...1G,8.89,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,8.76,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,8.09,,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,,,,,,,,,6.797,0.021,TIC,2019AJ....158..138S,6.441,0.023,TIC,2019AJ....158..138S,6.376,0.027,TIC,2019AJ....158..138S,7.436,0.006,7.909174919128418,0.0027738002070926,gaia_dr3,2023A&A...674A...1G,8.251157760620117,0.0029579893935857,7.386124134063721,0.0038178248822053,26.59666827981193,0.0307178664952516,GaiaDR3,2023A&A...674A...1G,37.54682540893555,0.0397224426269531,bj2021,2021AJ....161..147B,0,G5V,1999MSS...C05....0H,1,5523.0,21.0,Pastel,2022A&A...663A...4S,4.477113572368695,0.0559581288208659,calculated_from_M_and_R,Calculated Value,4.51,0.03,Pastel,2022A&A...663A...4S,-0.46,0.02,Pastel,2022A&A...663A...4S,-0.1288793275904338,0.0102006874700988,update_TIC,Calculated Value,0.9415922918762556,0.0131738935647555,calc_from_L_and_Teff,Calculated Value,0.97,0.122,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD  19034,0.18,93.7,30.7,Simbad,45.91233,-5.6663
